Nazwa miejscowości ;Rodzaj;Województwo
Anielin;wieś;mazowieckie
Anielin;wieś;mazowieckie
Anielin;wieś;mazowieckie
Anielin;część miasta Karczew;mazowieckie
Anielin;część miasta Otwock;mazowieckie
Anielin;wieś;mazowieckie
Anielin;wieś;mazowieckie
Anielin;wieś;wielkopolskie
Anielin Swędowski;wieś;łódzkie
Anielina;część miasta Mińsk Mazowiecki;mazowieckie
Anielinek;wieś;mazowieckie
Anielino;wieś;zachodniopomorskie
Anieliny;wieś;kujawsko-pomorskie
Anielów;wieś;mazowieckie
Anielówka;wieś;lubelskie
Anielpol;wieś;lubelskie
Anin;część miasta Warszawa;mazowieckie
Aniołka Pierwsza;wieś;wielkopolskie
Aniołowo;wieś;warmińsko-mazurskie
Aniołów;część miasta Zgierz;łódzkie
Aniołów;część miasta Częstochowa;śląskie
Ankamaty;wieś;pomorskie
Anna;część miasta Dąbrowa Górnicza;śląskie
Annapol;część miasta Jarocin;wielkopolskie
Annapol;wieś;wielkopolskie
Annetów;wieś;łódzkie
Annobór;wieś;lubelskie
Annolesie;wieś;łódzkie
Annolesie;wieś;śląskie
Annopol;wieś;lubelskie
Annopol;miasto;lubelskie
Annopol;wieś;lubelskie
Annopol;wieś;mazowieckie
Annopol;wieś;mazowieckie
Annopol;wieś;mazowieckie
Annopol;część miasta Warszawa;mazowieckie
Annopol;wieś;mazowieckie
Annopol;część miasta Siemiatycze;podlaskie
Annopol;wieś;wielkopolskie
Annopol Duży;wieś;łódzkie
Annopol Mały;wieś;łódzkie
Annopole;wieś;wielkopolskie
Annopole Nowe;wieś;łódzkie
Annopole Stare;wieś;łódzkie
Annosław;wieś;łódzkie
Annowo;wieś;kujawsko-pomorskie
Annowo;wieś;kujawsko-pomorskie
Annowo;wieś;kujawsko-pomorskie
Annowo;wieś;kujawsko-pomorskie
Annowo;wieś;wielkopolskie
Annów;wieś;lubelskie
Annów;wieś;łódzkie
Annów;wieś;łódzkie
Annów;wieś;mazowieckie
Annówka;wieś;lubelskie
Annówka;wieś;wielkopolskie
Anonin;wieś;lubelskie
Antałówka;część miasta Zakopane;małopolskie
Antolek;część miasta Kobyłka;mazowieckie
Antolin;wieś;lubelskie
Antolin;wieś;lubelskie
Antolin;wieś;łódzkie
Antolka;wieś;małopolskie
Antolka;wieś;śląskie
Antonia;wieś;mazowieckie
Antonia;wieś;warmińsko-mazurskie
Antonie;wieś;mazowieckie
Antonie;wieś;śląskie
Antonielów;wieś;łódzkie
Antonielów;wieś;świętokrzyskie
Antoniew;wieś;łódzkie
